station_id	Station Code	Station name	latitude	longitude	altitude	NVE Vatn nr	NVE Vassdrag nr	Kommune	Fylke Nr	Fylke	Region	Region_2	Region_3	Region 4	lake_area_km2	basin_area_km2	lake_catchm_%	mar_limit	min_elev	mean_elev	max_elev	developed	agriculture	forest	natural_not_forest	peat	glacier	freshwater	sea	nodata	sum	year	resa_id	Uke_19	sample_date_19	Dyp	Uke_95	sample_date_95	LakeTemp_19	2019_ALK	2019_Al/Il	2019_Al/R	2019_Al	2019_Ca	2019_Cl	2019_DOC C	2019_F	2019_Fe	2019_KOND	2019_K	2019_Mg	2019_Mn	2019_NH4-N	2019_NO3-N	2019_Na	2019_PO4-P	2019_SO4	2019_*SO4	2019_SiO2	2019_TOC	2019_CNDOM	2019_CNDOMcorr	2019_TOTN	2019_TON	2019_TONcorr	2019_TOTP	2019_Temp_oC	2019_pH	2019_H	2019_LAL	2019_ALKE	2019_ANC	2019_ANCorg	comment_station	1995_ALK	1995_Al/Il	1995_IlAl_DOM	1995_Al/R	1995_Ca	1995_Cl	1995_F	1995_Fe	1995_KOND	1995_K	1995_Mg	1995_Mn	1995_NH4-N	1995_NO3-N	1995_Na	1995_SO4	1995_*SO4	1995_SiO2	1995_TOC	1995_CNDOM	1995_CNDOMcorr	1995_TOTN	1995_TON	1995_TONcorr	1995_TOTP	1995_pH	1995_H	1995_LAL	1995_ALKE	1995_ANC	1995_ANCorg
24	545-1-15	HOH 1398	61.19811387	8.46260201	1398	30714	012.P1BZ	Vang kommune	5	Oppland	3	Mountains (3)	Mountains (3)	3-Mountains	0.069899818	0.5974	11.70067252	Above	1396.678833	1436.463843	1517.862061	0	0	0	87.84273307	0	0	12.15726657	0	0	99.99999965	2019	24	40	10.01.2019	2.5	38	09.18.1995	2.2	0.076	5	9	13	0.7	0.14	0.47	12	4.6	0.62	0.23	0.13	0.58	9	4	0.29	1	0.62	0.477339159	1.47	0.76	7.835051546	7.169811321	110	97	106	3		6.44	0.363078055	4	48.70451279	47.62092479	45.03692479		0.047	10	20.83333333	10	0.36	0.2	40		0.55	0.22	0.09	0.6	0	30	0.24	0.9	0.693028595	1.2	0.48	8.888888889	8.888888889	84	54	54	2	6.2	0.630957344	0	17.93508706	14.91298698	13.28098698
25	604-1-7	Korstjernet	59.52199655	9.63347437	767	6340	015.C81Z	Kongsberg kommune	6	Buskerud	2	East (1+2)	East (1+2)	2-East	0.040130183	0.3454	11.61846633	Above	767.3688965	782.7787348	840.1121826	0	0	3.754430205	62.18135206	21.34859633	0	12.71562105	0	0	99.99999965	2019	25	43	10.23.2019	6	42	10.20.1995	7	0.03	100	140	230	0.28	0.44	10.7	2	360	1.48	0.036	0.076	5.5	2	17	0.55	2	0.33	0.240821312	1.5	11	40.5904059	40.29304029	290	271	273	7		4.74	18.19700859	40	0	24.71557064	-12.68442936			106	14.13333333	157	0.33	0.8	40	313.8	1.86	0.09	0.11	9.8	0	54	0.6	1.9	1.449368493	1.1	7.5	30.48780488	30.48780488	300	246	246	5	4.56	27.54228703	51	0	-12.06306118	-37.56306118
26	604-3-3	Hengsvatnet	59.65618463	9.4415214	453	398	015.CAB	Kongsberg kommune	6	Buskerud	2	East (1+2)	East (1+2)	2-East	0.946357276	21.5666	4.388068941	Above	450.6730042	586.0488719	786.8973389	0	0	87.01131126	2.041079839	2.816256307	0	8.131352703	0	0	100.0000001	2019	26	43	10.23.2019	7.5	42	10.19.1995	9.5	0.058	93	110	190	1.48	0.79	6.7	93	230	1.24	0.097	0.12	19	15	23	0.8	2	0.77	0.570493952	2.33	7.1	41.27906977	37.96791444	210	172	187	3		5.8	1.584893192	17	29.7192081	82.11575652	57.97575652		0.053	112	19.31034483	142	1.48	0.9	150	203.8	1.45	0.22	0.18	19.5	0	41	0.64	2.4	1.834787081	2.1	5.8	29.14572864	29.14572864	240	199	199	1	5.66	2.187761624	30	24.38840466	43.84268424	24.12268424
27	631-2-7	Mjovatnet	59.835	9.34	590	402	015.F4D	Flesberg kommune	6	Buskerud	2	East (1+2)	East (1+2)	2-East	0.149261647	12.1228	1.231247298	Above	592.1403198	772.0628898	922.4476318	0.557827605	0	36.20331438	44.37317203	13.09060637	0	5.775079665	0	0	100.0000001	2019	27	43	10.23.2019	10.2	42	10.20.1995	7.9	0.045	65	80	170	1.15	0.31	9.4	11	310	1.05	0.084	0.13	9	7	42	0.38	2	0.4	0.299998935	1.42	8.9	35.45816733	34.49612403	300	251	258	6		5.26	5.495408739	15	15.76474827	67.18662525	36.92662525		0.021	98	13.24324324	105	0.76	0.5	40	443.8	1.39	0.14	0.12	56.7	38	92	0.39	1.7	1.304624289	1.3	7.4	38.94736842	32.45614035	320	190	228	5	4.8	15.84893192	7	0	14.98778501	-10.17221499
28	807-1-71	Surtetj?rn	59.77231309	9.12523824	471	12683	016.F5C	Notodden kommune	8	Telemark	2	East (1+2)	East (1+2)	2-East	0.098258236	3.8642	2.542783389	Above	471.0058594	744.9711713	1224.202515	0	0	70.64914131	24.63645734	1.091952456	0	3.622447817	0	0	99.99999892	2019	28	43	10.23.2019	6.5	42	10.19.1995	5.9	0.036	120	150	290	0.72	0.6	12.4	15	460	1.42	0.12	0.19	15	12	12	0.71	2	0.68	0.507352436	2.76	12	50.84745763	48.38709677	260	236	248	8		4.99	10.23292992	30	5.755061032	54.42855257	13.62855257		0.022	126	14.48275862	154	0.85	0.9	40	453.5	1.66	0.26	0.25	32.3	0	28	0.59	2.3	1.756978499	2.5	8.7	38.32599119	38.32599119	255	227	227	7	4.84	14.45439771	28	0	20.0226054	-9.5573946
29	817-1-10	Vihusvatnet	59.07633693	8.88201358	467	15159	017.F21	Drangedal kommune	8	Telemark	4	South (4+5)	South (4+5)	1-South	0.058070165	0.2869	20.24055938	Above	467.2176819	476.064526	499.7786865	0	0	75.71958261	0	3.76483804	0	20.51558331	0	0	100.000004	2019	29	44	10.28.2019	2.9	42	10.19.1995	5.7	0.031	83	120	170	0.51	0.69	7.7	11	330	1.23	0.041	0.094	2.6	12	27	0.7	1	0.6	0.441843683	0.95	7.9	29.15129151	27.91519435	310	271	283	6		4.92	12.02264435	37	0	31.65226901	4.79226901		0.022	68	12.83018868	111	0.86	1	40	264.3	1.65	0.09	0.12	7.9	0	57	0.88	2.5	1.908971343	0.65	5.3	23.24561404	23.24561404	285	228	228	7	4.91	12.30268771	43	0	9.037885583	-8.982114417
30	829-1-13	MjÜvatn	59.311	8.268	978	14260	019.H2	Kviteseid kommune	8	Telemark	4	South (4+5)	South (4+5)	1-South	0.086767178	0.9591	9.046729041	Above	977.9501343	1019.937441	1116.654053	0	0	40.62544977	49.59859376	0	0	9.775956149	0	0	99.99999968	2019	30	44	10.29.2019	8	42	10.20.1995	3.8	0.053	65	81	170	0.45	0.3	3.7	2	140	0.57	0.028	0.13	4.2	11	11	0.47	2	0.35	0.261457076	1.35	3.5	25.36231884	23.48993289	160	138	149	3		5.72	1.905460718	16	24.38840466	38.56032504	26.66032504		0.034	46	18.4	106	0.4	0.6	40	65	0.92	0.1	0.14	15.9	0	33	0.48	1.8	1.378808551	1	2.5	16.44736842	16.44736842	185	152	152	4	5.39	4.073802778	60	3.400778897	-1.843122995	-10.343123
31	830-1-24	Store Kleivtj?rn	59.02265958	8.65039603	414	15436	019.E5B	Nissedal kommune	8	Telemark	4	South (4+5)	South (4+5)	1-South	0.08275523	0.8673	9.541707578	Above	414.6002808	448.6250144	503.5956421	0	0	78.83573846	3.484173464	3.568840446	0	14.11124836	0	0	100.0000007	2019	31	44	10.29.2019	10	42	10.19.1995	5.9	0.035	79	120	210	0.43	0.93	6.6	24	240	1.29	0.03	0.092	4.6	31	62	0.86	1	0.83	0.612105053	2.08	6.8	40.71856287	34.34343434	260	167	198	2		5.02	9.54992586	41	4.591165144	21.47311553	-1.64688447		0.018	63	15.36585366	125	0.48	1.3	40	197.6	1.66	0.08	0.12	11.5	0	81	0.87	2.4	1.820289801	1.4	4.1	22.2826087	22.2826087	265	184	184	3	4.78	16.59586907	62	0	-18.70856992	-32.64856992
32	833-2-21	Folurdkaldevatn	59.3836825	7.59348255	1073	14019	019.J6	Tokke kommune	8	Telemark	4	South (4+5)	South (4+5)	1-South	0.18346733	2.4698	7.428428628	Above	1074	1129.519475	1260.672241	0	0	0	89.70922578	0	0	10.29076733	0	0	99.99999311	2019	32	40	09.30.2019	18	38	09.21.1995	6.7	0.057	12	16	28	0.56	0.33	0.42	25	3	0.52	0.067	0.074	0.92	3	3	0.44	1	0.39	0.291493213	1.36	0.68	15.45454545	14.46808511	50	44	47	1		6.13	0.741310241	4	28.65573746	37.45564156	35.14364156		0.035	10	50	41	0.3	0.5	40		0.64	0.06	0.07	8.5	0	70	0.37	1.1	0.837772799	0.8	0.2	6.451612903	6.451612903	101	31	31	11	5.56	2.754228703	31	4.591165144	-3.645668609	-4.325668609
33	834-1-12	Hemletj?rnane	59.61075187	7.54322131	1106	13254	021.M1A	Vinje kommune	8	Telemark	3	Mountains (3)	Mountains (3)	3-Mountains	0.070087329	21.5018	0.325960285	Above	1105.169922	1280.623725	1462.447144	0	0	0	87.45406342	0.093741361	0	12.45219529	0	0	100.0000001	2019	33	40	10.01.2019	1.4	38	09.18.1995	4.8	0.054	8	12	26	0.44	0.4	0.32	54	8.3	0.54	0.027	0.091	1.3	2	33	0.42	1	0.38	0.281175331	1.03	0.6	14.63414634	13.95348837	76	41	43	1		6	1	4	25.45743003	26.99414352	24.95414352		0.034	10	23.80952381	50	0.33	0.7	60		0.75	0.05	0.09	4.5	0	117	0.52	1.1	0.830524159	0.7	0.42	20	20	138	21	21	1	5.65	2.238721139	40	3.400778897	-3.230923336	-4.658923336
34	834-1-32	HOH 1394	59.93816288	7.96235116	1394	12028	016.J62	Vinje kommune	8	Telemark	3	Mountains (3)	Mountains (3)	3-Mountains	0.050368938	0.57	8.836655833	Above	1393.406006	1424.445702	1474.179565	0	0	0	90.6948474	0	0	9.305152683	0	0	100.0000001	2019	34	40	09.30.2019	7	38	09.21.1995	5	0.05	5	6	14	0.46	0.16	0.17	22	2.2	0.43	0.072	0.063	0.71	3	19	0.28	1	0.43	0.328777989	1.42	0.5	12.5	11.62790698	62	40	43	1		6	1	1	21.17103129	27.54960621	25.84960621		0.033	10	27.02702703	25	0.26	0.3	40	43.6	0.55	0.11	0.06	28.6	0	117	0.22	0.8	0.611595694	0.6	0.37	5.068493151	5.068493151	190	73	73	4	5.52	3.01995172	15	2.164357508	-3.1770883	-4.4350883
35	928-1-7	Lundevatnet	58.46007642	8.21435903	324	10729	020.BAB4	Birkenes kommune	9	Aust-Agder	4	South (4+5)	South (4+5)	1-South	0.054344119	3.5741	1.520497995	Above	321.7620239	357.3285582	407.2117615	0	0.621362674	83.06053846	0	12.65043897	0	3.667660117	0	0	100.0000002	2019	35	44	10.29.2019	2	42	10.18.1995	5.1	0.03	120	150	290	0.4	1.93	10.8	18	270	2	0.081	0.19	3.6	13	29	1.58	1	0.88	0.614766144	2.36	10.8	38.84892086	37.11340206	320	278	291	3		4.84	14.45439771	30	0	32.48185048	-4.23814952		0.012	130	16.88311688	202	0.68	2.9	40	147.5	2.78	0.22	0.29	21.1	0	99	1.91	3.1	2.306960754	1.9	7.7	28.41328413	28.41328413	370	271	271	5	4.66	21.87761624	72	0	-6.917906313	-33.09790631
36	928-2-20	Lille Hovvatnet	58.60525202	8.03626503	503	10069	020.BBBB	Birkenes kommune	9	Aust-Agder	4	South (4+5)	South (4+5)	1-South	0.191621295	1.0716	17.88179314	Above	502.7122498	523.287234	576.6575928	0	0	39.84336629	25.47307749	16.16946595	0	18.51409174	0	0	100.0000015	2019	36	44	10.29.2019	1.6			5	0.03	90	140	240	0.56	1.11	6.5	11	170	1.43	0.068	0.13	2.5	16	72	0.91	1	0.55	0.387717248	0.89	6.6	25.19083969	23.74100719	350	262	278	5		4.9	12.58925412	50	0	33.20082865	10.76082865	new in 2019	0.012	63	16.15384615	146	0.37	1.9			2.21	0.11	0.17			109	1.1	2.5	1.876352464		3.9		17.25663717	335		226		4.68	20.89296131	83	0	-30.319	-43.579
37	935-1-19	Fëretj?rn	58.42787563	7.95976654	251	10834	020.BAC	Iveland kommune	9	Aust-Agder	4	South (4+5)	South (4+5)	1-South	0.04016939	4.1279	0.973119268	Above	253.7789612	298.0935585	372.9224243	0	0	81.74136137	0	15.8396932	0	2.418945791	0	0	100.0000004	2019	37	44	10.29.2019	6	42	10.18.1995	5.8	0.038	130	160	310	0.49	2.39	11	21	550	2.09	0.086	0.26	5.9	20	26	1.9	1	1.04	0.722588003	3.22	10.9	39.7810219	37.07482993	320	274	294	3		5.05	8.912509381	30	8.034265095	41.18528988	4.12528988		0.032	112	15.77464789	179	1.22	3.9	40	343.6	3.01	0.22	0.42	9.5	0	51	2.38	3.6	2.659760464	2.8	7.1	24.56747405	24.56747405	340	289	289	4	5.03	9.332543008	67	0.808566274	15.97427897	-8.16572103
38	937-1-21	?ytj?rn	58.66810922	7.68324407	513	9665	021.BAA	Evje og Hornnes kommune	9	Aust-Agder	4	South (4+5)	South (4+5)	1-South	0.081248261	1.1605	7.0011427	Above	512.1003418	535.3149074	576.1305542	0	0	44.58561614	16.12785887	27.30067792	0	11.98584816	0	0	100.0000011	2019	38	44	10.29.2019	9.5	44	11.01.1995	6	0.032	67	89	170	0.39	1.1	7	25	170	1.34	0.043	0.12	3	18	26	0.81	1	0.47	0.325832815	0.97	7.2	30.50847458	28.34645669	280	236	254	3		4.97	10.71519305	22	0.808566274	24.27982185	-0.20017815		0.02	61	10.16666667	107	0.66	1.6	40	173.3	1.91	0.06	0.2	8.5	0	64	1.18	2.2	1.653799678	1.1	6	23.90438247	23.90438247	315	251	251	2	4.79	16.21810097	46	0	6.742593933	-13.65740607
